instance,reached_goal,optimal_plan,optimal_length,actual_plan,actual_length,total_nodes_expanded,total_edges_expanded
"instance-332","True","['unstack(d:default,b:default)', 'put-down(d:default)', 'unstack(b:default,a:default)', 'put-down(b:default)', 'unstack(a:default,c:default)', 'put-down(a:default)', 'pick-up(c:default)', 'stack(c:default,b:default)', 'pick-up(d:default)', 'stack(d:default,a:default)']","10","['unstack(d:default,b:default)', 'put-down(d:default)', 'unstack(b:default,a:default)', 'put-down(b:default)', 'unstack(a:default,c:default)', 'put-down(a:default)', 'pick-up(d:default)', 'stack(d:default,a:default)', 'pick-up(c:default)', 'stack(c:default,b:default)']","10","11","11"
"instance-100","False","['unstack(a:default,c:default)', 'put-down(a:default)', 'unstack(c:default,d:default)', 'put-down(c:default)', 'unstack(d:default,b:default)', 'put-down(d:default)', 'pick-up(b:default)', 'stack(b:default,d:default)', 'pick-up(a:default)', 'stack(a:default,b:default)']","10","['unstack(a:default,c:default)', 'put-down(a:default)', 'unstack(c:default,d:default)', 'put-down(c:default)']","4","8","10"
"instance-335","True","['unstack(b:default,d:default)', 'stack(b:default,c:default)', 'pick-up(d:default)', 'stack(d:default,b:default)']","4","['unstack(b:default,d:default)', 'stack(b:default,c:default)', 'pick-up(d:default)', 'stack(d:default,b:default)']","4","6","6"
"instance-138","False","['unstack(a:default,b:default)', 'put-down(a:default)', 'pick-up(c:default)', 'stack(c:default,b:default)', 'pick-up(d:default)', 'stack(d:default,c:default)', 'pick-up(a:default)', 'stack(a:default,d:default)']","8","['unstack(a:default,b:default)', 'put-down(a:default)', 'pick-up(c:default)', 'stack(c:default,b:default)', 'pick-up(d:default)', 'stack(d:default,c:default)']","6","9","11"
"instance-109","False","['unstack(c:default,a:default)', 'put-down(c:default)', 'unstack(a:default,d:default)', 'put-down(a:default)', 'pick-up(b:default)', 'stack(b:default,a:default)', 'pick-up(d:default)', 'stack(d:default,b:default)']","8","['unstack(c:default,a:default)', 'put-down(c:default)', 'unstack(a:default,d:default)', 'stack(a:default,b:default)']","4","6","7"
"instance-162","True","['unstack(b:default,c:default)', 'stack(b:default,a:default)', 'pick-up(c:default)', 'stack(c:default,b:default)']","4","['unstack(b:default,c:default)', 'stack(b:default,a:default)', 'pick-up(c:default)', 'stack(c:default,b:default)']","4","5","4"
"instance-350","True","['unstack(b:default,d:default)', 'put-down(b:default)', 'pick-up(d:default)', 'stack(d:default,c:default)']","4","['unstack(b:default,d:default)', 'put-down(b:default)', 'pick-up(d:default)', 'stack(d:default,c:default)']","4","5","4"
"instance-196","False","['unstack(b:default,d:default)', 'put-down(b:default)', 'unstack(d:default,c:default)', 'put-down(d:default)', 'pick-up(a:default)', 'stack(a:default,d:default)', 'pick-up(c:default)', 'stack(c:default,a:default)']","8","['unstack(b:default,d:default)', 'put-down(b:default)', 'pick-up(a:default)', 'stack(a:default,d:default)']","4","7","9"
"instance-198","True","['unstack(a:default,b:default)', 'put-down(a:default)', 'pick-up(d:default)', 'stack(d:default,b:default)']","4","['unstack(a:default,b:default)', 'put-down(a:default)', 'pick-up(d:default)', 'stack(d:default,b:default)']","4","5","4"
"instance-395","True","['unstack(a:default,d:default)', 'stack(a:default,c:default)', 'unstack(d:default,b:default)', 'stack(d:default,a:default)', 'pick-up(b:default)', 'stack(b:default,d:default)']","6","['unstack(a:default,d:default)', 'stack(a:default,c:default)', 'unstack(d:default,b:default)', 'stack(d:default,a:default)', 'pick-up(b:default)', 'stack(b:default,d:default)']","6","7","8"
"instance-361","False","['unstack(c:default,d:default)', 'put-down(c:default)', 'unstack(d:default,b:default)', 'stack(d:default,c:default)', 'unstack(b:default,a:default)', 'put-down(b:default)', 'unstack(d:default,c:default)', 'stack(d:default,b:default)', 'pick-up(a:default)', 'stack(a:default,c:default)']","10","['unstack(c:default,d:default)', 'put-down(c:default)']","2","4","5"
"instance-153","True","['unstack(c:default,d:default)', 'put-down(c:default)', 'unstack(d:default,b:default)', 'put-down(d:default)', 'pick-up(a:default)', 'stack(a:default,d:default)', 'pick-up(b:default)', 'stack(b:default,c:default)']","8","['unstack(c:default,d:default)', 'put-down(c:default)', 'unstack(d:default,b:default)', 'stack(d:default,a:default)', 'pick-up(b:default)', 'stack(b:default,c:default)', 'unstack(d:default,a:default)', 'put-down(d:default)', 'pick-up(a:default)', 'stack(a:default,d:default)']","10","11","12"
"instance-359","True","['unstack(c:default,b:default)', 'stack(c:default,a:default)', 'unstack(b:default,d:default)', 'put-down(b:default)', 'unstack(c:default,a:default)', 'stack(c:default,d:default)', 'pick-up(a:default)', 'stack(a:default,c:default)']","8","['unstack(c:default,b:default)', 'put-down(c:default)', 'unstack(b:default,d:default)', 'put-down(b:default)', 'pick-up(c:default)', 'stack(c:default,d:default)', 'pick-up(a:default)', 'stack(a:default,c:default)']","8","9","8"
