instance,reached_goal,optimal_plan,optimal_length,actual_plan,actual_length,total_nodes_expanded,total_edges_expanded
"3_instance-9","True","['unstack(a:default,c:default)', 'put-down(a:default)', 'pick-up(c:default)', 'stack(c:default,a:default)']","4","['unstack(a:default,c:default)', 'put-down(a:default)', 'pick-up(c:default)', 'stack(c:default,a:default)']","4","8","11"
"instance-107","False","['unstack(d:default,a:default)', 'put-down(d:default)', 'unstack(b:default,c:default)', 'stack(b:default,d:default)', 'pick-up(a:default)', 'stack(a:default,c:default)', 'unstack(b:default,d:default)', 'stack(b:default,a:default)']","8","[]","0","31","51"
"3_instance-7","False","['unstack(a:default,c:default)', 'put-down(a:default)', 'pick-up(b:default)', 'stack(b:default,c:default)', 'pick-up(a:default)', 'stack(a:default,b:default)']","6","[]","0","10","14"
"instance-131","True","['unstack(a:default,c:default)', 'put-down(a:default)', 'unstack(c:default,d:default)', 'stack(c:default,a:default)', 'unstack(d:default,b:default)', 'put-down(d:default)', 'unstack(c:default,a:default)', 'stack(c:default,d:default)', 'pick-up(b:default)', 'stack(b:default,c:default)']","10","['unstack(a:default,c:default)', 'put-down(a:default)', 'unstack(c:default,d:default)', 'put-down(c:default)', 'unstack(d:default,b:default)', 'put-down(d:default)', 'pick-up(c:default)', 'stack(c:default,d:default)', 'pick-up(b:default)', 'stack(b:default,c:default)']","10","29","48"
"instance-303","True","['unstack(d:default,c:default)', 'put-down(d:default)', 'unstack(c:default,a:default)', 'stack(c:default,b:default)', 'pick-up(a:default)', 'stack(a:default,d:default)', 'unstack(c:default,b:default)', 'stack(c:default,a:default)']","8","['unstack(d:default,c:default)', 'put-down(d:default)', 'unstack(c:default,a:default)', 'put-down(c:default)', 'pick-up(a:default)', 'stack(a:default,d:default)', 'pick-up(c:default)', 'stack(c:default,a:default)']","8","22","35"
"instance-304","True","['unstack(b:default,c:default)', 'put-down(b:default)', 'unstack(c:default,a:default)', 'put-down(c:default)', 'pick-up(b:default)', 'stack(b:default,c:default)', 'unstack(a:default,d:default)', 'put-down(a:default)', 'pick-up(d:default)', 'stack(d:default,b:default)']","10","['unstack(b:default,c:default)', 'put-down(b:default)', 'unstack(c:default,a:default)', 'put-down(c:default)', 'pick-up(b:default)', 'stack(b:default,c:default)', 'unstack(a:default,d:default)', 'put-down(a:default)', 'pick-up(d:default)', 'stack(d:default,b:default)']","10","17","25"
"instance-136","False","['unstack(d:default,c:default)', 'put-down(d:default)', 'unstack(a:default,b:default)', 'stack(a:default,d:default)', 'pick-up(c:default)', 'stack(c:default,b:default)', 'unstack(a:default,d:default)', 'stack(a:default,c:default)']","8","[]","0","37","60"
"instance-368","False","['pick-up(c:default)', 'stack(c:default,d:default)', 'pick-up(a:default)', 'stack(a:default,c:default)']","4","[]","0","11","14"
"instance-191","True","['pick-up(a:default)', 'stack(a:default,b:default)', 'pick-up(d:default)', 'stack(d:default,a:default)']","4","['pick-up(a:default)', 'stack(a:default,b:default)', 'pick-up(d:default)', 'stack(d:default,a:default)']","4","21","33"
"instance-501","True","['unstack(d:default,c:default)', 'stack(d:default,b:default)', 'unstack(c:default,a:default)', 'stack(c:default,d:default)']","4","['unstack(d:default,c:default)', 'stack(d:default,b:default)', 'unstack(c:default,a:default)', 'stack(c:default,d:default)']","4","12","14"
"instance-357","False","['unstack(b:default,c:default)', 'put-down(b:default)', 'unstack(d:default,a:default)', 'put-down(d:default)', 'pick-up(a:default)', 'stack(a:default,b:default)', 'pick-up(c:default)', 'stack(c:default,a:default)']","8","[]","0","36","61"
"instance-165","True","['unstack(d:default,c:default)', 'put-down(d:default)', 'unstack(c:default,a:default)', 'stack(c:default,d:default)', 'unstack(a:default,b:default)', 'put-down(a:default)', 'pick-up(b:default)', 'stack(b:default,a:default)']","8","['unstack(d:default,c:default)', 'put-down(d:default)', 'unstack(c:default,a:default)', 'stack(c:default,d:default)', 'unstack(a:default,b:default)', 'stack(a:default,c:default)', 'pick-up(b:default)', 'stack(b:default,a:default)']","8","13","20"
"instance-154","False","['unstack(c:default,b:default)', 'put-down(c:default)', 'unstack(b:default,a:default)', 'stack(b:default,c:default)', 'unstack(a:default,d:default)', 'put-down(a:default)', 'unstack(b:default,c:default)', 'stack(b:default,d:default)', 'pick-up(a:default)', 'stack(a:default,b:default)', 'pick-up(c:default)', 'stack(c:default,a:default)']","12","[]","0","4","5"
"instance-366","False","['unstack(a:default,c:default)', 'put-down(a:default)', 'pick-up(b:default)', 'stack(b:default,c:default)', 'pick-up(d:default)', 'stack(d:default,b:default)']","6","[]","0","23","38"
"instance-137","True","['unstack(a:default,c:default)', 'put-down(a:default)', 'unstack(b:default,d:default)', 'put-down(b:default)', 'pick-up(c:default)', 'stack(c:default,b:default)', 'pick-up(d:default)', 'stack(d:default,c:default)']","8","['unstack(b:default,d:default)', 'put-down(b:default)', 'unstack(a:default,c:default)', 'put-down(a:default)', 'pick-up(c:default)', 'stack(c:default,b:default)', 'pick-up(d:default)', 'stack(d:default,c:default)']","8","21","27"
"instance-305","False","['unstack(d:default,c:default)', 'put-down(d:default)', 'unstack(c:default,b:default)', 'put-down(c:default)', 'pick-up(b:default)', 'stack(b:default,a:default)', 'pick-up(d:default)', 'stack(d:default,b:default)']","8","[]","0","4","5"
"instance-334","True","['unstack(b:default,c:default)', 'stack(b:default,d:default)', 'unstack(c:default,a:default)', 'stack(c:default,b:default)']","4","['unstack(b:default,c:default)', 'stack(b:default,d:default)', 'unstack(c:default,a:default)', 'stack(c:default,b:default)']","4","9","11"
"instance-106","True","['unstack(c:default,a:default)', 'put-down(c:default)', 'unstack(a:default,d:default)', 'put-down(a:default)', 'unstack(d:default,b:default)', 'put-down(d:default)', 'pick-up(b:default)', 'stack(b:default,d:default)']","8","['unstack(c:default,a:default)', 'put-down(c:default)', 'unstack(a:default,d:default)', 'put-down(a:default)', 'unstack(d:default,b:default)', 'put-down(d:default)', 'pick-up(b:default)', 'stack(b:default,d:default)']","8","13","20"
"instance-139","False","['pick-up(a:default)', 'stack(a:default,d:default)', 'unstack(b:default,c:default)', 'put-down(b:default)', 'pick-up(c:default)', 'stack(c:default,a:default)']","6","[]","0","9","13"
"instance-101","True","['unstack(c:default,a:default)', 'put-down(c:default)', 'unstack(a:default,b:default)', 'put-down(a:default)', 'unstack(b:default,d:default)', 'stack(b:default,a:default)', 'pick-up(d:default)', 'stack(d:default,c:default)', 'unstack(b:default,a:default)', 'stack(b:default,d:default)']","10","['unstack(c:default,a:default)', 'put-down(c:default)', 'unstack(a:default,b:default)', 'put-down(a:default)', 'unstack(b:default,d:default)', 'put-down(b:default)', 'pick-up(d:default)', 'stack(d:default,c:default)', 'pick-up(b:default)', 'stack(b:default,d:default)']","10","25","36"
"3_instance-8","True","['pick-up(a:default)', 'stack(a:default,c:default)']","2","['pick-up(a:default)', 'stack(a:default,c:default)']","2","5","6"
"instance-393","False","['unstack(a:default,b:default)', 'put-down(a:default)', 'unstack(b:default,d:default)', 'put-down(b:default)', 'unstack(d:default,c:default)', 'stack(d:default,a:default)', 'pick-up(c:default)', 'stack(c:default,b:default)', 'unstack(d:default,a:default)', 'stack(d:default,c:default)']","10","[]","0","8","12"
"instance-155","False","['unstack(a:default,d:default)', 'put-down(a:default)', 'unstack(d:default,b:default)', 'put-down(d:default)', 'unstack(b:default,c:default)', 'stack(b:default,d:default)', 'pick-up(a:default)', 'stack(a:default,c:default)', 'unstack(b:default,d:default)', 'stack(b:default,a:default)']","10","[]","0","24","38"
