instance,reached_goal,optimal_plan,optimal_length,actual_plan,actual_length,total_nodes_expanded,total_edges_expanded
"3_instance-9","True","['unstack(a:default,c:default)', 'put-down(a:default)', 'pick-up(c:default)', 'stack(c:default,a:default)']","4","['unstack(a:default,c:default)', 'put-down(a:default)', 'pick-up(c:default)', 'stack(c:default,a:default)']","4","7","8"
"instance-107","True","['unstack(d:default,a:default)', 'put-down(d:default)', 'unstack(b:default,c:default)', 'stack(b:default,d:default)', 'pick-up(a:default)', 'stack(a:default,c:default)', 'unstack(b:default,d:default)', 'stack(b:default,a:default)']","8","['unstack(d:default,a:default)', 'put-down(d:default)', 'unstack(b:default,c:default)', 'put-down(b:default)', 'pick-up(a:default)', 'stack(a:default,c:default)', 'pick-up(b:default)', 'stack(b:default,a:default)']","8","13","15"
"3_instance-7","False","['unstack(a:default,c:default)', 'put-down(a:default)', 'pick-up(b:default)', 'stack(b:default,c:default)', 'pick-up(a:default)', 'stack(a:default,b:default)']","6","['unstack(a:default,c:default)', 'put-down(a:default)', 'pick-up(c:default)', 'stack(c:default,a:default)', 'pick-up(b:default)', 'stack(b:default,c:default)']","6","15","24"
"instance-131","False","['unstack(a:default,c:default)', 'put-down(a:default)', 'unstack(c:default,d:default)', 'stack(c:default,a:default)', 'unstack(d:default,b:default)', 'put-down(d:default)', 'unstack(c:default,a:default)', 'stack(c:default,d:default)', 'pick-up(b:default)', 'stack(b:default,c:default)']","10","['unstack(a:default,c:default)', 'put-down(a:default)', 'unstack(c:default,d:default)', 'put-down(c:default)', 'pick-up(a:default)', 'stack(a:default,d:default)', 'pick-up(c:default)']","7","16","26"
"instance-303","False","['unstack(d:default,c:default)', 'put-down(d:default)', 'unstack(c:default,a:default)', 'stack(c:default,b:default)', 'pick-up(a:default)', 'stack(a:default,d:default)', 'unstack(c:default,b:default)', 'stack(c:default,a:default)']","8","['unstack(d:default,c:default)', 'stack(d:default,b:default)', 'unstack(c:default,a:default)', 'put-down(c:default)', 'pick-up(a:default)']","5","15","23"
"instance-304","True","['unstack(b:default,c:default)', 'put-down(b:default)', 'unstack(c:default,a:default)', 'put-down(c:default)', 'pick-up(b:default)', 'stack(b:default,c:default)', 'unstack(a:default,d:default)', 'put-down(a:default)', 'pick-up(d:default)', 'stack(d:default,b:default)']","10","['unstack(b:default,c:default)', 'put-down(b:default)', 'unstack(c:default,a:default)', 'stack(c:default,b:default)', 'unstack(a:default,d:default)', 'put-down(a:default)', 'unstack(c:default,b:default)', 'put-down(c:default)', 'pick-up(b:default)', 'stack(b:default,c:default)', 'pick-up(d:default)', 'stack(d:default,b:default)']","12","15","23"
"instance-136","False","['unstack(d:default,c:default)', 'put-down(d:default)', 'unstack(a:default,b:default)', 'stack(a:default,d:default)', 'pick-up(c:default)', 'stack(c:default,b:default)', 'unstack(a:default,d:default)', 'stack(a:default,c:default)']","8","['unstack(a:default,b:default)', 'put-down(a:default)', 'unstack(d:default,c:default)', 'stack(d:default,a:default)', 'pick-up(c:default)', 'stack(c:default,b:default)']","6","18","27"
"instance-368","False","['pick-up(c:default)', 'stack(c:default,d:default)', 'pick-up(a:default)', 'stack(a:default,c:default)']","4","['pick-up(c:default)', 'stack(c:default,b:default)', 'pick-up(a:default)', 'stack(a:default,d:default)', 'unstack(c:default,b:default)', 'put-down(c:default)', 'unstack(a:default,d:default)']","7","17","27"
"instance-191","True","['pick-up(a:default)', 'stack(a:default,b:default)', 'pick-up(d:default)', 'stack(d:default,a:default)']","4","['pick-up(a:default)', 'stack(a:default,b:default)', 'pick-up(d:default)', 'stack(d:default,a:default)']","4","17","27"
"instance-501","True","['unstack(d:default,c:default)', 'stack(d:default,b:default)', 'unstack(c:default,a:default)', 'stack(c:default,d:default)']","4","['unstack(d:default,c:default)', 'stack(d:default,b:default)', 'unstack(c:default,a:default)', 'stack(c:default,d:default)']","4","8","11"
"instance-357","True","['unstack(b:default,c:default)', 'put-down(b:default)', 'unstack(d:default,a:default)', 'put-down(d:default)', 'pick-up(a:default)', 'stack(a:default,b:default)', 'pick-up(c:default)', 'stack(c:default,a:default)']","8","['unstack(d:default,a:default)', 'put-down(d:default)', 'unstack(b:default,c:default)', 'put-down(b:default)', 'pick-up(a:default)', 'stack(a:default,b:default)', 'pick-up(c:default)', 'stack(c:default,a:default)']","8","13","16"
"instance-165","True","['unstack(d:default,c:default)', 'put-down(d:default)', 'unstack(c:default,a:default)', 'stack(c:default,d:default)', 'unstack(a:default,b:default)', 'put-down(a:default)', 'pick-up(b:default)', 'stack(b:default,a:default)']","8","['unstack(d:default,c:default)', 'put-down(d:default)', 'unstack(c:default,a:default)', 'stack(c:default,d:default)', 'unstack(a:default,b:default)', 'put-down(a:default)', 'pick-up(b:default)', 'stack(b:default,a:default)']","8","10","15"
"instance-154","False","['unstack(c:default,b:default)', 'put-down(c:default)', 'unstack(b:default,a:default)', 'stack(b:default,c:default)', 'unstack(a:default,d:default)', 'put-down(a:default)', 'unstack(b:default,c:default)', 'stack(b:default,d:default)', 'pick-up(a:default)', 'stack(a:default,b:default)', 'pick-up(c:default)', 'stack(c:default,a:default)']","12","['unstack(c:default,b:default)', 'put-down(c:default)', 'unstack(b:default,a:default)']","3","4","5"
"instance-366","False","['unstack(a:default,c:default)', 'put-down(a:default)', 'pick-up(b:default)', 'stack(b:default,c:default)', 'pick-up(d:default)', 'stack(d:default,b:default)']","6","['unstack(a:default,c:default)', 'stack(a:default,b:default)', 'pick-up(c:default)', 'stack(c:default,d:default)', 'unstack(a:default,b:default)', 'put-down(a:default)', 'unstack(c:default,d:default)', 'stack(c:default,b:default)', 'pick-up(d:default)']","9","21","33"
"instance-137","True","['unstack(a:default,c:default)', 'put-down(a:default)', 'unstack(b:default,d:default)', 'put-down(b:default)', 'pick-up(c:default)', 'stack(c:default,b:default)', 'pick-up(d:default)', 'stack(d:default,c:default)']","8","['unstack(a:default,c:default)', 'put-down(a:default)', 'unstack(b:default,d:default)', 'stack(b:default,a:default)', 'pick-up(c:default)', 'stack(c:default,b:default)', 'pick-up(d:default)', 'stack(d:default,c:default)']","8","15","20"
"instance-305","False","['unstack(d:default,c:default)', 'put-down(d:default)', 'unstack(c:default,b:default)', 'put-down(c:default)', 'pick-up(b:default)', 'stack(b:default,a:default)', 'pick-up(d:default)', 'stack(d:default,b:default)']","8","['unstack(d:default,c:default)', 'stack(d:default,a:default)', 'unstack(c:default,b:default)', 'stack(c:default,d:default)', 'pick-up(b:default)']","5","19","28"
"instance-334","True","['unstack(b:default,c:default)', 'stack(b:default,d:default)', 'unstack(c:default,a:default)', 'stack(c:default,b:default)']","4","['unstack(b:default,c:default)', 'stack(b:default,d:default)', 'unstack(c:default,a:default)', 'stack(c:default,b:default)']","4","8","10"
"instance-106","True","['unstack(c:default,a:default)', 'put-down(c:default)', 'unstack(a:default,d:default)', 'put-down(a:default)', 'unstack(d:default,b:default)', 'put-down(d:default)', 'pick-up(b:default)', 'stack(b:default,d:default)']","8","['unstack(c:default,a:default)', 'put-down(c:default)', 'unstack(a:default,d:default)', 'stack(a:default,c:default)', 'unstack(d:default,b:default)', 'stack(d:default,a:default)', 'pick-up(b:default)', 'stack(b:default,d:default)']","8","12","19"
"instance-139","True","['pick-up(a:default)', 'stack(a:default,d:default)', 'unstack(b:default,c:default)', 'put-down(b:default)', 'pick-up(c:default)', 'stack(c:default,a:default)']","6","['unstack(b:default,c:default)', 'put-down(b:default)', 'pick-up(a:default)', 'stack(a:default,d:default)', 'pick-up(c:default)', 'stack(c:default,a:default)']","6","10","12"
"instance-101","True","['unstack(c:default,a:default)', 'put-down(c:default)', 'unstack(a:default,b:default)', 'put-down(a:default)', 'unstack(b:default,d:default)', 'stack(b:default,a:default)', 'pick-up(d:default)', 'stack(d:default,c:default)', 'unstack(b:default,a:default)', 'stack(b:default,d:default)']","10","['unstack(c:default,a:default)', 'put-down(c:default)', 'unstack(a:default,b:default)', 'put-down(a:default)', 'unstack(b:default,d:default)', 'put-down(b:default)', 'pick-up(d:default)', 'stack(d:default,c:default)', 'pick-up(b:default)', 'stack(b:default,d:default)']","10","14","21"
"3_instance-8","True","['pick-up(a:default)', 'stack(a:default,c:default)']","2","['pick-up(a:default)', 'stack(a:default,c:default)']","2","4","4"
"instance-393","True","['unstack(a:default,b:default)', 'put-down(a:default)', 'unstack(b:default,d:default)', 'put-down(b:default)', 'unstack(d:default,c:default)', 'stack(d:default,a:default)', 'pick-up(c:default)', 'stack(c:default,b:default)', 'unstack(d:default,a:default)', 'stack(d:default,c:default)']","10","['unstack(a:default,b:default)', 'put-down(a:default)', 'unstack(b:default,d:default)', 'stack(b:default,a:default)', 'unstack(d:default,c:default)', 'put-down(d:default)', 'unstack(b:default,a:default)', 'put-down(b:default)', 'pick-up(c:default)', 'stack(c:default,b:default)', 'pick-up(d:default)', 'stack(d:default,c:default)']","12","16","24"
"instance-155","True","['unstack(a:default,d:default)', 'put-down(a:default)', 'unstack(d:default,b:default)', 'put-down(d:default)', 'unstack(b:default,c:default)', 'stack(b:default,d:default)', 'pick-up(a:default)', 'stack(a:default,c:default)', 'unstack(b:default,d:default)', 'stack(b:default,a:default)']","10","['unstack(a:default,d:default)', 'put-down(a:default)', 'unstack(d:default,b:default)', 'stack(d:default,a:default)', 'unstack(b:default,c:default)', 'put-down(b:default)', 'unstack(d:default,a:default)', 'put-down(d:default)', 'pick-up(a:default)', 'stack(a:default,c:default)', 'pick-up(b:default)', 'stack(b:default,a:default)']","12","18","24"
"instance-152","False","['unstack(d:default,b:default)', 'put-down(d:default)', 'unstack(b:default,c:default)', 'put-down(b:default)', 'unstack(c:default,a:default)', 'stack(c:default,b:default)', 'pick-up(d:default)', 'stack(d:default,c:default)']","8","['unstack(d:default,b:default)', 'put-down(d:default)', 'unstack(b:default,c:default)', 'put-down(b:default)', 'unstack(c:default,a:default)', 'put-down(c:default)']","6","18","30"
"instance-500","True","['unstack(d:default,b:default)', 'stack(d:default,a:default)', 'unstack(b:default,c:default)', 'put-down(b:default)', 'pick-up(c:default)', 'stack(c:default,b:default)']","6","['unstack(d:default,b:default)', 'stack(d:default,a:default)', 'unstack(b:default,c:default)', 'stack(b:default,d:default)', 'pick-up(c:default)', 'stack(c:default,b:default)']","6","13","19"
"instance-164","True","['pick-up(c:default)', 'stack(c:default,a:default)']","2","['pick-up(c:default)', 'stack(c:default,a:default)']","2","4","4"
"instance-356","False","['unstack(d:default,a:default)', 'put-down(d:default)', 'unstack(a:default,c:default)', 'stack(a:default,d:default)', 'pick-up(c:default)', 'stack(c:default,b:default)']","6","['unstack(d:default,a:default)', 'stack(d:default,b:default)', 'unstack(a:default,c:default)', 'put-down(a:default)', 'pick-up(c:default)']","5","20","30"
"instance-190","False","['unstack(b:default,a:default)', 'put-down(b:default)', 'pick-up(a:default)', 'stack(a:default,b:default)', 'unstack(d:default,c:default)', 'stack(d:default,a:default)', 'pick-up(c:default)', 'stack(c:default,d:default)']","8","[]","0","3","2"
"instance-197","False","['unstack(c:default,b:default)', 'put-down(c:default)', 'unstack(b:default,d:default)', 'put-down(b:default)', 'pick-up(a:default)', 'stack(a:default,d:default)', 'pick-up(c:default)', 'stack(c:default,a:default)']","8","['unstack(c:default,b:default)', 'stack(c:default,a:default)', 'unstack(b:default,d:default)', 'stack(b:default,c:default)', 'pick-up(d:default)']","5","14","23"
"instance-75","True","['unstack(d:default,c:default)', 'put-down(d:default)', 'unstack(c:default,a:default)', 'put-down(c:default)', 'unstack(a:default,b:default)', 'stack(a:default,c:default)', 'pick-up(d:default)', 'stack(d:default,a:default)']","8","['unstack(d:default,c:default)', 'put-down(d:default)', 'unstack(c:default,a:default)', 'put-down(c:default)', 'unstack(a:default,b:default)', 'stack(a:default,c:default)', 'pick-up(d:default)', 'stack(d:default,a:default)']","8","11","15"
"instance-81","False","['unstack(c:default,d:default)', 'put-down(c:default)', 'unstack(d:default,b:default)', 'put-down(d:default)', 'unstack(b:default,a:default)', 'put-down(b:default)', 'pick-up(c:default)', 'stack(c:default,a:default)', 'pick-up(d:default)', 'stack(d:default,c:default)', 'pick-up(b:default)', 'stack(b:default,d:default)']","12","['unstack(c:default,d:default)', 'put-down(c:default)', 'unstack(d:default,b:default)', 'stack(d:default,c:default)', 'unstack(b:default,a:default)', 'put-down(b:default)', 'pick-up(a:default)']","7","16","26"
"instance-224","False","['pick-up(d:default)', 'stack(d:default,a:default)']","2","['unstack(a:default,b:default)', 'stack(a:default,d:default)', 'unstack(b:default,c:default)', 'put-down(b:default)', 'pick-up(c:default)', 'stack(c:default,b:default)', 'unstack(a:default,d:default)', 'put-down(a:default)', 'pick-up(d:default)', 'stack(d:default,a:default)']","10","18","27"
"instance-86","True","['unstack(b:default,a:default)', 'put-down(b:default)', 'unstack(a:default,c:default)', 'put-down(a:default)', 'pick-up(c:default)', 'stack(c:default,a:default)']","6","['unstack(b:default,a:default)', 'put-down(b:default)', 'unstack(a:default,c:default)', 'put-down(a:default)', 'pick-up(c:default)', 'stack(c:default,a:default)']","6","10","12"
"3_instance-20","True","['pick-up(b:default)', 'stack(b:default,a:default)']","2","['unstack(a:default,c:default)', 'put-down(a:default)', 'pick-up(b:default)', 'stack(b:default,a:default)']","4","7","7"
"3_instance-29","True","['unstack(b:default,a:default)', 'put-down(b:default)', 'pick-up(a:default)', 'stack(a:default,c:default)', 'pick-up(b:default)', 'stack(b:default,a:default)']","6","['unstack(b:default,a:default)', 'put-down(b:default)', 'pick-up(a:default)', 'stack(a:default,c:default)', 'pick-up(b:default)', 'stack(b:default,a:default)']","6","12","18"
"instance-212","False","['unstack(c:default,b:default)', 'put-down(c:default)', 'pick-up(d:default)', 'stack(d:default,c:default)', 'unstack(b:default,a:default)', 'stack(b:default,d:default)', 'pick-up(a:default)', 'stack(a:default,b:default)']","8","['unstack(c:default,b:default)', 'stack(c:default,d:default)', 'unstack(b:default,a:default)', 'put-down(b:default)', 'pick-up(a:default)', 'stack(a:default,c:default)']","6","18","29"
